"DateTime";"Количество"
2021-05-24 00:00:00;985
2021-05-25 00:00:00;1197
2021-05-26 00:00:00;1254
2021-05-27 00:00:00;1268
2021-05-28 00:00:00;1176
2021-05-29 00:00:00;851
2021-05-30 00:00:00;467
2021-05-31 00:00:00;875
2021-06-01 00:00:00;1106
2021-06-02 00:00:00;1038
2021-06-03 00:00:00;1173
2021-06-04 00:00:00;1150
2021-06-05 00:00:00;645
2021-06-06 00:00:00;353
2021-06-07 00:00:00;849
2021-06-08 00:00:00;1126
2021-06-09 00:00:00;923
2021-06-10 00:00:00;1207
2021-06-11 00:00:00;1136
2021-06-12 00:00:00;421
2021-06-13 00:00:00;358
2021-06-14 00:00:00;459
2021-06-15 00:00:00;1050
2021-06-16 00:00:00;862
2021-06-17 00:00:00;1017
2021-06-18 00:00:00;942
2021-06-19 00:00:00;643
2021-06-20 00:00:00;446
2021-06-21 00:00:00;908
2021-06-22 00:00:00;1187
2021-06-23 00:00:00;1306
2021-06-24 00:00:00;1225
2021-06-25 00:00:00;1024
2021-06-26 00:00:00;561
2021-06-27 00:00:00;421
2021-06-28 00:00:00;1174
2021-06-29 00:00:00;840
2021-06-30 00:00:00;976
2021-07-01 00:00:00;1041
2021-07-02 00:00:00;822
2021-07-03 00:00:00;484
2021-07-04 00:00:00;351
2021-07-05 00:00:00;801
2021-07-06 00:00:00;993
2021-07-07 00:00:00;1082
2021-07-08 00:00:00;1043
2021-07-09 00:00:00;1141
2021-07-10 00:00:00;546
2021-07-11 00:00:00;415
2021-07-12 00:00:00;921
2021-07-13 00:00:00;1108
2021-07-14 00:00:00;1091
2021-07-15 00:00:00;1152
2021-07-16 00:00:00;1096
2021-07-17 00:00:00;539
2021-07-18 00:00:00;408
2021-07-19 00:00:00;772
2021-07-20 00:00:00;892
2021-07-21 00:00:00;871
2021-07-22 00:00:00;900
2021-07-23 00:00:00;908
2021-07-24 00:00:00;551
2021-07-25 00:00:00;377
2021-07-26 00:00:00;774
2021-07-27 00:00:00;975
2021-07-28 00:00:00;941
2021-07-29 00:00:00;947
2021-07-30 00:00:00;986
2021-07-31 00:00:00;624
2021-08-01 00:00:00;348
2021-08-02 00:00:00;799
2021-08-03 00:00:00;818
2021-08-04 00:00:00;884
2021-08-05 00:00:00;876
2021-08-06 00:00:00;1100
2021-08-07 00:00:00;544
2021-08-08 00:00:00;394
2021-08-09 00:00:00;825
2021-08-10 00:00:00;971
2021-08-11 00:00:00;1253
2021-08-12 00:00:00;1003
2021-08-13 00:00:00;923
2021-08-14 00:00:00;533
2021-08-15 00:00:00;464
2021-08-16 00:00:00;844
2021-08-17 00:00:00;1009
2021-08-18 00:00:00;1073
2021-08-19 00:00:00;890
2021-08-20 00:00:00;984
2021-08-21 00:00:00;486
2021-08-22 00:00:00;439
2021-08-23 00:00:00;792
2021-08-24 00:00:00;917
2021-08-25 00:00:00;1022
2021-08-26 00:00:00;1277
2021-08-27 00:00:00;1206
2021-08-28 00:00:00;881
2021-08-29 00:00:00;547
2021-08-30 00:00:00;1035
2021-08-31 00:00:00;1242
2021-09-01 00:00:00;979
2021-09-02 00:00:00;1180
2021-09-03 00:00:00;1319
2021-09-04 00:00:00;888
2021-09-05 00:00:00;607
2021-09-06 00:00:00;996
2021-09-07 00:00:00;1115
2021-09-08 00:00:00;1043
2021-09-09 00:00:00;1006
2021-09-10 00:00:00;1321
2021-09-11 00:00:00;723
2021-09-12 00:00:00;528
2021-09-13 00:00:00;756
2021-09-14 00:00:00;1099
2021-09-15 00:00:00;1069
2021-09-16 00:00:00;1014
2021-09-17 00:00:00;1055
2021-09-18 00:00:00;866
2021-09-19 00:00:00;583
2021-09-20 00:00:00;1331
2021-09-21 00:00:00;1450
2021-09-22 00:00:00;1154
2021-09-23 00:00:00;1167
2021-09-24 00:00:00;1088
2021-09-25 00:00:00;913
2021-09-26 00:00:00;623
2021-09-27 00:00:00;817
2021-09-28 00:00:00;1114
2021-09-29 00:00:00;1167
2021-09-30 00:00:00;1042
2021-10-01 00:00:00;1004
2021-10-02 00:00:00;688
2021-10-03 00:00:00;550
2021-10-04 00:00:00;926
2021-10-05 00:00:00;1080
2021-10-06 00:00:00;1069
2021-10-07 00:00:00;1261
2021-10-08 00:00:00;1263
2021-10-09 00:00:00;1038
2021-10-10 00:00:00;571
2021-10-11 00:00:00;812
2021-10-12 00:00:00;990
2021-10-13 00:00:00;1100
2021-10-14 00:00:00;1203
2021-10-15 00:00:00;1125
2021-10-16 00:00:00;765
2021-10-17 00:00:00;479
2021-10-18 00:00:00;986
2021-10-19 00:00:00;925
2021-10-20 00:00:00;1237
2021-10-21 00:00:00;1223
2021-10-22 00:00:00;1174
2021-10-23 00:00:00;861
2021-10-24 00:00:00;653
2021-10-25 00:00:00;962
2021-10-26 00:00:00;1242
2021-10-27 00:00:00;1334
2021-10-28 00:00:00;864
2021-10-29 00:00:00;883
2021-10-30 00:00:00;644
2021-10-31 00:00:00;394
2021-11-01 00:00:00;594
2021-11-02 00:00:00;550
2021-11-03 00:00:00;744
2021-11-04 00:00:00;422
2021-11-05 00:00:00;353
2021-11-06 00:00:00;400
2021-11-07 00:00:00;333
2021-11-08 00:00:00;957
2021-11-09 00:00:00;1136
2021-11-10 00:00:00;1170
2021-11-11 00:00:00;1191
2021-11-12 00:00:00;1296
2021-11-13 00:00:00;1222
2021-11-14 00:00:00;729
2021-11-15 00:00:00;1179
2021-11-16 00:00:00;1449
